index,label,test_support,correct,per_class_accuracy,independent_real_tested
0,abomasnow,4,4,1.0,True
1,absol,4,3,0.75,True
2,accelgor,4,4,1.0,True
3,aegislash-blade,4,4,1.0,True
4,aipom,4,4,1.0,True
5,alcremie-vanilla-cream-berry-sweet,0,0,,False
6,alcremie-vanilla-cream-clover-sweet,0,0,,False
7,alcremie-vanilla-cream-flower-sweet,0,0,,False
8,alcremie-vanilla-cream-love-sweet,0,0,,False
9,alcremie-vanilla-cream-ribbon-sweet,0,0,,False
10,alcremie-vanilla-cream-star-sweet,0,0,,False
11,alcremie-vanilla-cream-strawberry-sweet,0,0,,False
12,altaria,4,3,0.75,True
13,amaura,4,2,0.5,True
14,ambipom,4,4,1.0,True
15,amoonguss,4,4,1.0,True
16,ampharos,4,3,0.75,True
17,annihilape,4,4,1.0,True
18,anorith,4,4,1.0,True
19,appletun,4,4,1.0,True
20,applin,4,3,0.75,True
21,arboliva,4,3,0.75,True
22,archaludon,4,4,1.0,True
23,archen,4,4,1.0,True
24,arctibax,4,4,1.0,True
25,arctovish,4,3,0.75,True
26,arctozolt,4,2,0.5,True
27,ariados,4,4,1.0,True
28,armaldo,4,4,1.0,True
29,armarouge,4,4,1.0,True
30,aromatisse,4,4,1.0,True
31,arrokuda,4,4,1.0,True
32,articuno-galar,4,3,0.75,True
33,audino,4,2,0.5,True
34,aurorus,4,4,1.0,True
35,avalugg,4,4,1.0,True
36,avalugg-hisui,4,4,1.0,True
37,axew,4,2,0.5,True
38,azelf,4,3,0.75,True
39,azumarill,4,4,1.0,True
40,azurill,4,4,1.0,True
41,barboach,4,2,0.5,True
42,barraskewda,4,4,1.0,True
43,basculegion-male,4,4,1.0,True
44,basculin-white-striped,4,3,0.75,True
45,baxcalibur,4,4,1.0,True
46,bayleef,4,3,0.75,True
47,beartic,4,4,1.0,True
48,beautifly,4,4,1.0,True
49,beedrill,4,4,1.0,True
50,bellibolt,4,4,1.0,True
51,bellossom,4,4,1.0,True
52,bellsprout,4,4,1.0,True
53,bergmite,4,3,0.75,True
54,bewear,4,4,1.0,True
55,blastoise,4,4,1.0,True
56,blaziken,4,4,1.0,True
57,blipbug,4,4,1.0,True
58,blissey,4,3,0.75,True
59,blitzle,4,4,1.0,True
60,boltund,4,3,0.75,True
61,bombirdier,4,4,1.0,True
62,bonsly,4,4,1.0,True
63,bouffalant,4,4,1.0,True
64,bounsweet,4,4,1.0,True
65,braixen,4,4,1.0,True
66,brambleghast,4,4,1.0,True
67,bramblin,4,4,1.0,True
68,breloom,4,2,0.5,True
69,bronzong,4,3,0.75,True
70,bronzor,4,4,1.0,True
71,brute-bonnet,4,4,1.0,True
72,budew,4,4,1.0,True
73,buizel,4,4,1.0,True
74,bulbasaur,4,4,1.0,True
75,buneary,4,4,1.0,True
76,bunnelby,4,4,1.0,True
77,burmy-plant,0,0,,False
78,burmy-sandy,0,0,,False
79,burmy-trash,0,0,,False
80,butterfree,4,4,1.0,True
81,cacnea,4,4,1.0,True
82,cacturne,4,3,0.75,True
83,calyrex,4,4,1.0,True
84,capsakid,4,4,1.0,True
85,carkol,4,4,1.0,True
86,carnivine,4,4,1.0,True
87,carracosta,4,3,0.75,True
88,cascoon,4,1,0.25,True
89,castform,4,4,1.0,True
90,castform-rainy,4,4,1.0,True
91,castform-snowy,4,4,1.0,True
92,castform-sunny,4,4,1.0,True
93,caterpie,4,3,0.75,True
94,celebi,4,3,0.75,True
95,centiskorch,4,2,0.5,True
96,ceruledge,4,4,1.0,True
97,cetitan,4,4,1.0,True
98,cetoddle,4,4,1.0,True
99,chandelure,4,3,0.75,True
100,chansey,4,4,1.0,True
101,charcadet,4,4,1.0,True
102,charizard,4,4,1.0,True
103,charmander,4,4,1.0,True
104,charmeleon,4,4,1.0,True
105,chatot,4,4,1.0,True
106,cherrim,4,4,1.0,True
107,cherrim-sunshine,0,0,,False
108,cherubi,4,4,1.0,True
109,chesnaught,4,4,1.0,True
110,chespin,4,3,0.75,True
111,chewtle,4,4,1.0,True
112,chi-yu,4,4,1.0,True
113,chien-pao,4,3,0.75,True
114,chikorita,4,3,0.75,True
115,chimchar,4,4,1.0,True
116,chimecho,4,4,1.0,True
117,chinchou,4,4,1.0,True
118,chingling,4,4,1.0,True
119,cinccino,4,4,1.0,True
120,cinderace,4,4,1.0,True
121,clamperl,4,4,1.0,True
122,claydol,4,4,1.0,True
123,clefable,4,4,1.0,True
124,clefairy,4,4,1.0,True
125,cleffa,4,4,1.0,True
126,clobbopus,4,4,1.0,True
127,clodsire,4,4,1.0,True
128,coalossal,4,4,1.0,True
129,cobalion,4,4,1.0,True
130,combee,4,4,1.0,True
131,combusken,4,4,1.0,True
132,comfey,4,2,0.5,True
133,conkeldurr,4,4,1.0,True
134,copperajah,4,4,1.0,True
135,corsola,4,3,0.75,True
136,corsola-galar,4,4,1.0,True
137,corviknight,4,4,1.0,True
138,corvisquire,4,3,0.75,True
139,cosmoem,4,4,1.0,True
140,cosmog,4,3,0.75,True
141,cottonee,4,2,0.5,True
142,crabominable,4,3,0.75,True
143,crabrawler,4,4,1.0,True
144,cradily,4,4,1.0,True
145,cramorant,4,3,0.75,True
146,cramorant-gorging,4,4,1.0,True
147,cramorant-gulping,4,4,1.0,True
148,cranidos,4,4,1.0,True
149,cresselia,4,4,1.0,True
150,croagunk,4,4,1.0,True
151,crocalor,4,2,0.5,True
152,cubchoo,4,4,1.0,True
153,cufant,4,4,1.0,True
154,cursola,4,2,0.5,True
155,cutiefly,4,4,1.0,True
156,cyclizar,4,2,0.5,True
157,cyclizar-battle,0,0,,False
158,cyclizar-ride,0,0,,False
159,dachsbun,4,4,1.0,True
160,darmanitan-galar-standard,4,4,1.0,True
161,darmanitan-galar-zen,4,4,1.0,True
162,darmanitan-zen,4,4,1.0,True
163,dartrix,4,4,1.0,True
164,darumaka-galar,4,4,1.0,True
165,decidueye,4,4,1.0,True
166,decidueye-hisui,4,4,1.0,True
167,dedenne,4,4,1.0,True
168,deerling,4,4,1.0,True
169,deerling-autumn,0,0,,False
170,deerling-summer,0,0,,False
171,deerling-winter,0,0,,False
172,delcatty,4,3,0.75,True
173,delibird,4,4,1.0,True
174,delphox,4,3,0.75,True
175,deoxys-attack,4,4,1.0,True
176,deoxys-defense,4,4,1.0,True
177,deoxys-normal,4,4,1.0,True
178,deoxys-speed,4,3,0.75,True
179,dewgong,4,3,0.75,True
180,dewott,4,1,0.25,True
181,dhelmise,4,1,0.25,True
182,diggersby,4,3,0.75,True
183,diglett,4,4,1.0,True
